,$n$,$c$,$\nu_8$,$\nu_2$,$f$,$\epsilon$,$\frac{k_{diss}}{k_f}$,$F_f$,$Ro_f$,$Bu$,$\frac{<\bf \Omega_0 >}{{(P k_f^2)}^{2/3}}$,$E$,$t_{stat}$,$t_{\max}$,short name
13,1920,100,1.1117729174899334e-12,0.0,53.3145952579004,1.0622773138759432,56.58842421045167,0.016418830584390795,0.007391070533673173,2.0,1.0,21.340318120347394,19.40212,99.91091,vortex_grid_c100nh1920Bu2.0efr1.00e+00
14,1920,100,1.1117729174899334e-12,0.0,37.69911184307752,1.0362314822048748,56.58842421045167,0.016283528313633926,0.0103664160883667,4.0,0.01,11.866686891826923,16.80948,99.95639,vortex_grid_c100nh1920Bu4.0efr1.00e-02
15,1920,100,1.1117729174899334e-12,0.0,37.69911184307752,1.0409791770342984,56.58842421045167,0.016308359140552307,0.010382223883747176,4.0,0.1,13.299825229016786,16.60937,99.95639,vortex_grid_c100nh1920Bu4.0efr1.00e-01
16,1920,100,1.1117729174899334e-12,0.0,37.69911184307752,1.0428247102041242,56.58842421045167,0.016317991049109585,0.010388355747180375,4.0,1.0,15.617080707287935,16.3092,99.95639,vortex_grid_c100nh1920Bu4.0efr1.00e+00
17,1920,100,1.1117729174899334e-12,0.0,37.69911184307752,1.2467031873331411,56.58842421045167,0.01731877922666415,0.01102547728896333,4.0,10.0,90.70337776632303,12.70717,99.95639,vortex_grid_c100nh1920Bu4.0efr1.00e+01
18,1920,100,1.1117729174899334e-12,0.0,37.69911184307752,1.6557036693524902,56.58842421045167,0.019036646988597104,0.012119105872522693,4.0,100.0,104.90411626016261,1.600903,99.95639,vortex_grid_c100nh1920Bu4.0efr1.00e+02
19,1920,100,1.1117729174899334e-12,0.0,0.0,1.0224602116813988,56.58842421045167,0.016211071639488754,inf,inf,0.01,7.406889362612612,11.12344,99.97109,vortex_grid_c100nh1920Buinfefr1.00e-02
20,1920,100,1.1117729174899334e-12,0.0,0.0,1.0178150626159976,56.58842421045167,0.01618648480847238,inf,inf,0.1,7.544151237612612,11.12344,99.97109,vortex_grid_c100nh1920Buinfefr1.00e-01
21,1920,100,1.1117729174899334e-12,0.0,0.0,1.0117775259450077,56.58842421045167,0.01615441599367125,inf,inf,1.0,8.655593371501272,10.7224,49.9776,vortex_grid_c100nh1920Buinfefr1.00e+00
22,1920,100,1.1117729174899334e-12,0.0,0.0,1.0682643073753015,56.58842421045167,0.01644961831904873,inf,inf,10.0,15.326689188596491,8.717187,99.97109,vortex_grid_c100nh1920Buinfefr1.00e+01
23,1920,100,1.1117729174899334e-12,0.0,0.0,2.2147310402223956,56.58842421045167,0.020975061856419216,inf,inf,100.0,97.99020729072164,1.503646,49.9776,vortex_grid_c100nh1920Buinfefr1.00e+02
24,1920,400,1.1117729174899334e-12,0.0,0.0,1.027432652323867,56.58842421045167,0.0040593271114142595,inf,inf,0.01,14.791712928327645,20.70794,49.92695,vortex_grid_c400nh1920Buinfefr1.00e-02
25,1920,400,1.1117729174899334e-12,0.0,0.0,1.0803030002355345,56.58842421045167,0.004127795014507477,inf,inf,0.1,15.049899251548945,19.30703,99.95951,vortex_grid_c400nh1920Buinfefr1.00e-01
26,1920,400,1.1117729174899334e-12,0.0,0.0,1.0411826660611638,56.58842421045167,0.004077355428933801,inf,inf,1.0,15.651586920886075,18.40645,49.92695,vortex_grid_c400nh1920Buinfefr1.00e+00
27,1920,400,1.1117729174899334e-12,0.0,0.0,1.1739056846110156,56.58842421045167,0.004243725946038868,inf,inf,10.0,22.84716931823745,18.30638,99.95951,vortex_grid_c400nh1920Buinfefr1.00e+01
28,1920,400,1.1117729174899334e-12,0.0,0.0,1.889961728095516,56.58842421045167,0.004973787936871079,inf,inf,100.0,102.2957506711111,5.00293,49.92695,vortex_grid_c400nh1920Buinfefr1.00e+02
